country,marketplace,brand,sku_name,product_url,image_url,animal_type,price,currency,review_count,rating,best_seller_rank,monthly_units_estimate,toy_type,estimated_monthly_units,estimated_monthly_revenue
India,SuperTails,,Skatrs Dumbbell Shaped Rope Chew Toy for Dogs and Cats (Blue/Yellow) 6.5cm,https://supertails.com/products/skatrs-dumble-shaped-rope-chew-toy-for-cats-and-dogs-blue-yellow,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/Frame_344684108_beb0f166-6bd9-4d99-be69-8c54105232a7.png?v=1727069516&width=300&height=300&crop=center&fit=crop,dog,99,INR,,,,,rope,0.00,0.00
India,SuperTails,,Skatrs Pineapple Shaped Ice Cooling Toy for Dogs & Cats (Yellow) 12cm,https://supertails.com/products/skatrs-pineapple-shaped-ice-cooling-toy-for-dogs-cats-mint-green-copy,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/181_800a6944-537b-45b0-87d6-47fac3e53e30.png?v=1744097286&width=300&height=300&crop=center&fit=crop,dog,149,INR,,,,,other,0.00,0.00
India,SuperTails,,Trixie Football Viny Squeaky Chew Toy for Dogs LS-M,https://supertails.com/products/trixie-football-vinyl-toy-for-dogs,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/2_4_1_15e2b49c-9efe-4f53-8d4c-28f92d364e41.png?v=1696620510&width=300&height=300&crop=center&fit=crop,dog,248,INR,,,,,fetch,0.00,0.00
India,SuperTails,,Basil Teething Ring Chew Toy for Dogs | For Medium Chewers (Orange) 10cm,https://supertails.com/products/basil-teething-ring-chew-toy-for-dogs-orange,https://cdn.shopify.com/s/files/1/0565/8021/0861/products/Frame6-2023-01-19T124602.584_3e94a5f8-fbe0-4c7e-afab-11d4f7feade4-583646.png?v=1696469271&width=300&height=300&crop=center&fit=crop,dog,164,INR,,,,,chew,0.00,0.00
India,SuperTails,,Barkbutler x Fofos Flexy Ball Ultra Bounce Toy for Dogs (Yellow & Grey) | For Aggressive Chewers MS,https://supertails.com/products/fofos-flexy-ball-ultra-bounce-toy-for-dogs-yellow-grey,https://cdn.shopify.com/s/files/1/0565/8021/0861/products/Frame1_49_f45e7a03-dc5c-4441-aeba-e15c5b29dec9-531978.png?v=1696511797&width=300&height=300&crop=center&fit=crop,dog,442,INR,,,,,fetch,0.00,0.00
India,SuperTails,,Squeeezys Latex banana Squeaky Chew Toy for Dogs (Yellow) 13.5x6cm,https://supertails.com/products/squeeezys-latex-banana-squeaky-chew-toy-for-dogs-yellow,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/BANANADOG11.png?v=1744806975&width=300&height=300&crop=center&fit=crop,dog,318,INR,,,,,chew,0.00,0.00
India,SuperTails,,Barkbutler x Fofos Geek Ball Chew Toy for Cats 1pcs12pcs6pcs3pcs,https://supertails.com/products/barkbutler-x-fofos-geek-ball-chew-toy-for-cats,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/Frame10976_73807a5d-9933-4545-8921-516d37aed57c.png?v=1707741810&width=300&height=300&crop=center&fit=crop,cat,89,INR,,,,,fetch,0.00,0.00
India,SuperTails,,Trixie Wind Up Mouse Toy for Cats (Grey) 7cm,https://supertails.com/products/trixie-wind-up-mouse-toy-for-cats-grey,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/image591_2f58fc91-67ac-47c2-8054-e03ddaea01a1.png?v=1696626683&width=300&height=300&crop=center&fit=crop,cat,270,INR,,,,,other,0.00,0.00
India,SuperTails,,Skatrs Ball Shaped Rope Chew Toy for Cats & Dogs (Red/White) 9cm,https://supertails.com/products/skatrs-ball-shaped-rope-chew-toy-for-cats-dogs-red-white,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/SAKTRS_PDP_6f646981-dffb-4a9d-8363-295db22b5e91.png?v=1730701520&width=300&height=300&crop=center&fit=crop,cat,119,INR,,,,,rope,0.00,0.00
India,SuperTails,,Trixie Playing Rod with Leather Straps and Feathers Toy for Cats (Black) 50cm,https://supertails.com/products/trixie-playing-rod-with-leather-straps-and-feathers-toy-for-cats-assorted,https://cdn.shopify.com/s/files/1/0565/8021/0861/products/Frame1-2022-06-16T111818.712.png?v=1696623318&width=300&height=300&crop=center&fit=crop,cat,176,INR,,,,,other,0.00,0.00
India,SuperTails,,Barkbutler x Fofos Rattle Mouse Chew Toy for Cats 1pcs,https://supertails.com/products/barkbutler-x-fofos-rattle-mouse-chew-toy-for-cats,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/Frame10919.png?v=1696427533&width=300&height=300&crop=center&fit=crop,cat,119,INR,,,,,chew,0.00,0.00
India,SuperTails,,Skatrs Feather Interactive Tumbler Toy for Cats (Grey) 19cm,https://supertails.com/products/skatrs-feather-interactive-tumbler-toy-for-cats-grey,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/SKATRSTOYS_16_5035594c-4a39-486a-bea2-6228725e2589.png?v=1733150640&width=300&height=300&crop=center&fit=crop,cat,249,INR,,,,,interactive,0.00,0.00
